kpi,Bin
RXQUAL,0
RXQUAL,1
RXQUAL,2
RXQUAL,3
RXQUAL,4
RXQUAL,5
RXQUAL,6
RXQUAL,7
RXLEV,0
RXLEV,1
RXLEV,2
RXLEV,3
RXLEV,4
RXLEV,5
RXLEV,6
RXLEV,7
RXLEV,8
RXLEV,9
RXLEV,10
RXLEV,11
RXLEV,12
RXLEV,13
RXLEV,14
RXLEV,15
RXLEV,16
RXLEV,17
RXLEV,18
RXLEV,19
RXLEV,20
RXLEV,21
RXLEV,22
RXLEV,23
RXLEV,24
RXLEV,25
RXLEV,26
RXLEV,27
RXLEV,28
RXLEV,29
RXLEV,30
RXLEV,31
RXLEV,32
RXLEV,33
RXLEV,34
RXLEV,35
RXLEV,36
RXLEV,37
RXLEV,38
RXLEV,39
RXLEV,40
RXLEV,41
RXLEV,42
RXLEV,43
RXLEV,44
RXLEV,45
RXLEV,46
RXLEV,47
RXLEV,48
RXLEV,49
RXLEV,50
RXLEV,51
RXLEV,52
RXLEV,53
RXLEV,54
RXLEV,55
RXLEV,56
RXLEV,57
RXLEV,58
RXLEV,59
RXLEV,60
RXLEV,61
RXLEV,62
RXLEV,63
PATHLOSS,30
PATHLOSS,32
PATHLOSS,34
PATHLOSS,36
PATHLOSS,38
PATHLOSS,40
PATHLOSS,42
PATHLOSS,44
PATHLOSS,46
PATHLOSS,48
PATHLOSS,50
PATHLOSS,52
PATHLOSS,54
PATHLOSS,56
PATHLOSS,58
PATHLOSS,60
PATHLOSS,62
PATHLOSS,64
PATHLOSS,66
PATHLOSS,68
PATHLOSS,70
PATHLOSS,72
PATHLOSS,74
PATHLOSS,76
PATHLOSS,78
PATHLOSS,80
PATHLOSS,82
PATHLOSS,84
PATHLOSS,86
PATHLOSS,88
PATHLOSS,90
PATHLOSS,92
PATHLOSS,94
PATHLOSS,96
PATHLOSS,98
PATHLOSS,100
PATHLOSS,102
PATHLOSS,104
PATHLOSS,106
PATHLOSS,108
PATHLOSS,110
PATHLOSS,112
PATHLOSS,114
PATHLOSS,116
PATHLOSS,118
PATHLOSS,120
PATHLOSS,122
PATHLOSS,124
PATHLOSS,126
PATHLOSS,128
PATHLOSS,130
PATHLOSS,132
PATHLOSS,134
PATHLOSS,136
PATHLOSS,138
PATHLOSS,140
PATHLOSS,142
PATHLOSS,144
PATHLOSS,146
PATHLOSS,148
PATHLOSS,150
PATHLOSS,152
PATHLOSS,154
PATHLOSS,156
PATHLOSS,158
BSPOWER,-30
BSPOWER,-28
BSPOWER,-26
BSPOWER,-24
BSPOWER,-22
BSPOWER,-20
BSPOWER,-18
BSPOWER,-16
BSPOWER,-14
BSPOWER,-12
BSPOWER,-10
BSPOWER,-8
BSPOWER,-6
BSPOWER,-4
BSPOWER,-2
BSPOWER,0
MSPOWER,0
MSPOWER,2
MSPOWER,4
MSPOWER,5
MSPOWER,6
MSPOWER,7
MSPOWER,8
MSPOWER,9
MSPOWER,10
MSPOWER,11
MSPOWER,12
MSPOWER,13
MSPOWER,14
MSPOWER,15
MSPOWER,16
MSPOWER,17
MSPOWER,18
MSPOWER,19
MSPOWER,20
MSPOWER,21
MSPOWER,22
MSPOWER,23
MSPOWER,24
MSPOWER,25
MSPOWER,26
MSPOWER,27
MSPOWER,28
MSPOWER,29
MSPOWER,30
MSPOWER,31
MSPOWER,32
MSPOWER,33
MSPOWER,34
MSPOWER,35
MSPOWER,36
MSPOWER,37
MSPOWER,39
TAVAL,0
TAVAL,1
TAVAL,2
TAVAL,3
TAVAL,4
TAVAL,5
TAVAL,6
TAVAL,7
TAVAL,8
TAVAL,9
TAVAL,10
TAVAL,11
TAVAL,12
TAVAL,13
TAVAL,14
TAVAL,15
TAVAL,16
TAVAL,17
TAVAL,18
TAVAL,19
TAVAL,20
TAVAL,21
TAVAL,22
TAVAL,23
TAVAL,24
TAVAL,25
TAVAL,26
TAVAL,27
TAVAL,28
TAVAL,29
TAVAL,30
TAVAL,31
TAVAL,32
TAVAL,33
TAVAL,34
TAVAL,35
TAVAL,36
TAVAL,37
TAVAL,38
TAVAL,39
TAVAL,40
TAVAL,41
TAVAL,42
TAVAL,43
TAVAL,44
TAVAL,45
TAVAL,46
TAVAL,47
TAVAL,48
TAVAL,49
TAVAL,50
TAVAL,51
TAVAL,52
TAVAL,53
TAVAL,54
TAVAL,55
TAVAL,56
TAVAL,57
TAVAL,58
TAVAL,59
TAVAL,60
TAVAL,61
TAVAL,62
TAVAL,63
TAVAL,64
TAVAL,74
TAVAL,84
TAVAL,94
TAVAL,104
TAVAL,114
TAVAL,124
TAVAL,134
TAVAL,144
TAVAL,164
TAVAL,184
TAVAL,204
PATHLOSSDIFF,-25
PATHLOSSDIFF,-24
PATHLOSSDIFF,-23
PATHLOSSDIFF,-22
PATHLOSSDIFF,-21
PATHLOSSDIFF,-20
PATHLOSSDIFF,-19
PATHLOSSDIFF,-18
PATHLOSSDIFF,-17
PATHLOSSDIFF,-16
PATHLOSSDIFF,-15
PATHLOSSDIFF,-14
PATHLOSSDIFF,-13
PATHLOSSDIFF,-12
PATHLOSSDIFF,-11
PATHLOSSDIFF,-10
PATHLOSSDIFF,-9
PATHLOSSDIFF,-8
PATHLOSSDIFF,-7
PATHLOSSDIFF,-6
PATHLOSSDIFF,-5
PATHLOSSDIFF,-4
PATHLOSSDIFF,-3
PATHLOSSDIFF,-2
PATHLOSSDIFF,-1
PATHLOSSDIFF,0
PATHLOSSDIFF,1
PATHLOSSDIFF,2
PATHLOSSDIFF,3
PATHLOSSDIFF,4
PATHLOSSDIFF,5
PATHLOSSDIFF,6
PATHLOSSDIFF,7
PATHLOSSDIFF,8
PATHLOSSDIFF,9
PATHLOSSDIFF,10
PATHLOSSDIFF,11
PATHLOSSDIFF,12
PATHLOSSDIFF,13
PATHLOSSDIFF,14
PATHLOSSDIFF,15
PATHLOSSDIFF,16
PATHLOSSDIFF,17
PATHLOSSDIFF,18
PATHLOSSDIFF,19
PATHLOSSDIFF,20
PATHLOSSDIFF,21
PATHLOSSDIFF,22
PATHLOSSDIFF,23
PATHLOSSDIFF,24
PATHLOSSDIFF,25
FER,0
FER,1
FER,2
FER,3
FER,4
FER,5
FER,6
FER,7
FER,8
FER,9
FER,10
FER,11
FER,12
FER,13
FER,14
FER,15
FER,16
FER,17
FER,18
FER,19
FER,20
FER,21
FER,22
FER,23
FER,24
FER,25
FER,26
FER,27
FER,28
FER,29
FER,30
FER,31
FER,32
FER,33
FER,34
FER,35
FER,36
FER,37
FER,38
FER,39
FER,40
FER,41
FER,42
FER,43
FER,44
FER,45
FER,46
FER,47
FER,48
FER,49
FER,50
FER,51
FER,52
FER,53
FER,54
FER,55
FER,56
FER,57
FER,58
FER,59
FER,60
FER,61
FER,62
FER,63
FER,64
FER,65
FER,66
FER,67
FER,68
FER,69
FER,70
FER,71
FER,72
FER,73
FER,74
FER,75
FER,76
FER,77
FER,78
FER,79
FER,80
FER,81
FER,82
FER,83
FER,84
FER,85
FER,86
FER,87
FER,88
FER,89
FER,90
FER,91
FER,92
FER,93
FER,94
FER,95
FER,96
