Bin	BLER	Ue TX Pwr	CPICH ECNO	CPICH RSCP	DLTxCodePowerSF
0	0-0.5	-50--20	-Infinity--22	-Infinity--115	-Infinity-6
1	0.5-1	-20--16	-22--20	-115--111	6-7
2	1-1.5	-16--12	-20--18	-111--107	7-8
3	1.5-2	-12--8	-18--16	-107--103	8-9
4	2-2.5	-8--4	-16--14	-103--99	9-10
5	2.5-3	-4-0	-14--12	-99--95	10-11
6	3-3.5	0-4	-12--10	-95--91	11-12
7	3.5-4	4-8	-10--8	-91--87	12-13
8	4-4.5	8-12	-8--6	-87--83	13-14
9	4.5-5	12-16	-6--4	-83--79	14-15
10	5-6	16-20	-4--2	-79--75	15-16
11	6-7	20-24	-2-0	-75--71	16-17
12	7-8	24-28		-71--67	17-18
13	8-9	28-Infinity		-67--63	18-19
14	9-10			-63--59	19-20
15	10-15			-59--55	20-21
16	15-20			-55-Infinity	21-22
17	20-Infinity				22-23
18					23-24
19					24-25
20					25-26
21					26-27
22					27-28
23					28-29
24					29-30
25					30-31
26					31-32
27					32-33
28					33-34
29					34-35
30					35-36
31					36-37
32					37-38
33					38-39
34					39-40
35					40-41
36					41-42
37					42-43
